username,message,sentiment,confidence
lyoon1595,lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO lirikO,Error,0
kiuper,Q. What regions are eligible to participate in the PTR?A. Accounts from all regions (excluding China),negative,-2.46763e-05
donikass,OhMyDog OhMyDog,Error,0
xenoss_,dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL,Error,0
superhank91,Biblethump Biblethump,Error,0
dbrans_,iwas dun barn in the usa,negative,-0.602931
summonthedead,america fuck ye,Error,0
arethyu,HEY STRIMMER IS THIS PTR????,neutral,0
greyxsloan,Meik America great again! Build an ice wall,positive,0.719903
xingmingping,dwad Kappa Kappa Kappa Kappa Kappa Kappa Kappa Kappa Kappa Kappa Kappa Kappa Kappa Kappa Kappa Kappa,Error,0
quasar_231,i thought that competitive was taking a break?,negative,-0.756236
demon_lily,literally everyone unsubbed from shadder when genji was nerfed LUL,neutral,0
stevens0,BOoooorrrrNNNN!!,Error,0
morteusnl,BORN IN THE USA,neutral,0
noxattra,🇺🇸,neutral,0
xenoss_,USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL,Error,0
t4iishy,HEY KIDS WANNA SOME DEMOCRACY,positive,0.264401
jululuian,GENGI WAS MY ACTUAL DAD STAHP TOO EMOTIONAL,neutral,0
thrall420,KKona,neutral,0
multimedyam,BORN IN THE evoUSA BORN IN THE evoUSA BORN IN THE evoUSA BORN IN THE evoUSA,neutral,0
gigudrion,BORN IN THE FATLAND KKona,neutral,0
itgkira,Y is USA such shit? D: </3,negative,-0.780142
djturndown,USA USA,neutral,0
t4iishy,OSkomodo MY KEK IS TOP OSkomodo MY LEL IS FREE OSkomodo YOU GUESSED IT RIGHT OSkomodo LEL KEK XD OSkomodo,Error,0
exorcismer,dont even wanna play ptr, dont like playing games/patches before they come out,negative,-0.820599
cruzcontrol22,PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime PartyTime,Error,0
andima88,DatSheffy,neutral,0
vanitydestroyer,@demon_lily, ULURU,Error,0
xenoss_,USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL,Error,0
usernamewastaken12,UNITED STATES OF MURICA LUL,neutral,0
beatsbyyomomma,NEW JERSEY OVER HERE,neutral,0
rumiroomie,Kappa,neutral,0
neutralweird,moon2SMUG I moon2SMUG DREAM moon2SMUG OF moon2SMUG A moon2SMUG CHAT moon2SMUG FULL moon2SMUG OF moon2SMUG SMUG moon2SMUG,negative,-0.834097
poptissy,dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL dewLUL,Error,0
vydos,8 mins until livestream of Last Bastion,negative,-0.36654
icedoutemz,Kappa,neutral,0
xenoss_,USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL,Error,0
hawkeyesflame,moon2MLADY U moon2MLADY S moon2MLADY HEY moon2MLADY,Error,0
savalaserg2,BANGEDDDDD IN THE USAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Error,0
ohunt3r,Kappa,neutral,0
srace2020,Please play Badlands next.,neutral,0
nintendoom33,lgwOMW lgwOMW lgwOMW,Error,0
angra2004,VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo,Error,0
widc,Kappa,neutral,0
brutabull,PORN IN THE USA,negative,-0.458197
chasedawolf1994,BORN AS A GENGU MAIN!!!! @moonmoon_ow,neutral,0
andima88,DatSheffy 7,neutral,0
frozn11,@MorteusNL, northern europe bro, u should visit,positive,0.284317
ph1r3,mangoU mangoS mangoA mangoU mangoS mangoA,Error,0
niklev9,twitchRaid twitchRaid twitchRaid twitchRaid twitchRaid,neutral,0
xenoss_,USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL,Error,0
squarebanana111,@moonmoon_ow if you want patriotic music put on Kanye,neutral,0
scenesontoast,star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2,neutral,0
cinnam0nbits,This isnt patriotism this song is about how americans treat their soldiers like shit durning Vietnam,negative,-0.55301
freederp,hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA hikoNA,Error,0
raburabu,@MOONMOON_OW, I've been playing the PTR and I've noticed a bug where Genji can still do damage and kill people. Is this going to be patched before the PTR is over / in time for season 2, or is Genji still going to be able to kill people?Thank you.,negative,-0.287749
ventragon,10 MINS TILL CINEMATIC,neutral,0
dragoneer3,noooooooo,negative,-0.627736
ninjanerd127,rip,negative,-0.846566
bushybu,BloodTrail,neutral,0
t4iishy,WANNA GET SOME DEMOCRACY,negative,-0.342399
wowexlucis,Bawwwwwn in the ooooo esssss ayye,neutral,0
xenoss_,USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL,Error,0
multimedyam,evoUSA evoUSA evoUSA evoUSA evoUSA evoUSA evoUSA evoUSA,neutral,0
skelluhboost,Cdew subs DansGame,neutral,0
mrtrash587,LUL,neutral,0
t4iishy,OSkomodo MY KEK IS TOP OSkomodo MY LEL IS FREE OSkomodo YOU GUESSED IT RIGHT OSkomodo LEL KEK XD OSkomodo,Error,0
sarofa,tatCreepy tatCreepy tatCreepy tatCreepy tatCreepy tatCreepy tatCreepy tatCreepy tatCreepy,neutral,0
wiscomptonswan,born in a overwatch buff... born in the M-E-I,positive,0.283405
faarisburo,haHAA,neutral,0
bobthepredator,NA LUL,neutral,0
skabuda,ChefFrank,neutral,0
xenoss_,USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL,Error,0
leckotut,READ THIS IF YOU ARE DUMB 4Head,negative,-0.467785
physikl,@Moonmoon_ow, The overwatch channel is watching the Dragons short right now, bation short next,negative,-0.671922
t4iishy,TOPKEK,neutral,0
arethyu,ULURU,neutral,0
usernamewastaken12,LUL,neutral,0
quasar_231,LUL,neutral,0
manletz,haHAA,neutral,0
vanitydestroyer,haHAA,neutral,0
coldace180,@MOONMOON_OW Why 58/60 of Roadhog?,negative,-0.554142
rastafarimahn,haHAA,neutral,0
onorekian,haHAA,neutral,0
insanekil1er,lol,positive,0.315755
xenoss_,USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL USA dewLUL,Error,0
hawkeyesflame,WELCOME TO THE U S OF HEY,positive,0.830346
hawaiianxgypsy,AMERICA SUX BALLS BUT WE STILL HAVE SONGS LIKE THIS SUCKING AMERICA'S SUCKY BALLS FeelsBadMan,negative,-0.886202
bilis132,ULURU,neutral,0
fang4664,DansGame,neutral,0
turmoill,😂👌🔥🇺🇸💯,Error,0
usernamewastaken12,ULURU,neutral,0
scenesontoast,star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star1 star2 star2 star1 star2 star1 star2 star1 star2 star1 star2,neutral,0
forsakenkk,What was his placement result btw?,neutral,0
darkinsoul,FailFish \,neutral,0
magicwizardman34,ULURU,neutral,0
im_lycan_it,Kappa,neutral,0
jcline9677,haHAA,neutral,0
louis9921,FreakinStinkin FreakinStinkin FreakinStinkin,neutral,0
phenom_hs,ImTriggered MOONMOON ImTriggered PUSHES ImTriggered ME ImTriggered TO ImTriggered MY ImTriggered ABSOLUTE ImTriggered LIMIT ImTriggered,negative,-0.482763
kaliafornia,>breathing tho,negative,-0.651951
talenh96,@MOONMOON_OW what rank did you get buddy?,negative,-0.55124
steveawright,Ptr help us,positive,0.583928
bobthepredator,BrokeBack,neutral,0
dieec23,PraiseIt PraiseIt PraiseIt PraiseIt PraiseIt PraiseIt mcaT mcaT mcaT mcaT panicBasket panicBasket panicBasket panicBasket panicBasket panicBasket panicBasket panicBasket panicBasket Keepo,Error,0
aych_dubyah,i mean hes right,neutral,0
phenom_hs,ImTriggered MOONMOON ImTriggered PUSHES ImTriggered ME ImTriggered TO ImTriggered MY ImTriggered ABSOLUTE ImTriggered LIMIT ImTriggered .,negative,-0.346064
t4iishy,XD,positive,0.581138
arkterr,WutFace,neutral,0
whitetigress,(puke),negative,-0.572671
mbkvv,ULURU,neutral,0
ersze,U pig,negative,-0.312213
rotcha,noom are u ok ???,Error,0
leckotut,haHAA SO FUNNY,positive,0.678996
ninjanerd127,That's actually true though FeelsBadMan @MOONMOON_OW,positive,0.246285
malaki3,Moon is hilarious today.,positive,0.867719
fatuastorm,lmfao Moon ULURU,Error,0
badbubba14,He's become a hog,neutral,0
zombehbrainz,@Dearbig, in case you missed the X button at the top right-hand corner, you are not held here against your will LUL,negative,-0.531986
squarebanana111,born in the lands stolen from the Indians,negative,-0.576023
seagull_is_my_dad,WHY IS HE BORED IN THE USA,negative,-0.751976
andima88,To kill the MingLee,negative,-0.722942
powermcsquiddly,haHAA r u a real grill haHAA,Error,0
rzack,PanicVis,neutral,0
xingmingping,@MOONMOON_OW can u tell ur pc spec,neutral,0
t4iishy,OSkomodo MY KEK IS TOP OSkomodo MY LEL IS FREE OSkomodo YOU GUESSED IT RIGHT OSkomodo LEL KEK XD OSkomodo,Error,0
gafsibou,danSgaming,neutral,0
padandpadie,U ARE AN ENORMOUS FREAK BRUH,negative,-0.516759
moonmoon_ow,!specs,neutral,0
nightbot,MoonMoon's Setup: http://pcpartpicker.com/list/4gHK4C,negative,-0.235988
physikl,USA,neutral,0
yoshivsjoshi,oceonman,neutral,0
zaenia,USA USA USA,neutral,0
oxydros,BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump,Error,0
niklev9,UsA,neutral,0
brutabull,PORN IN THE USA,negative,-0.458197
coatzul,Murica DatSheffy 7,neutral,0
madnuffjew,USA,neutral,0
malaki3,MERICA,neutral,0
jfaiman,CANADA,neutral,0
pierules32,USA USA USA\,neutral,0
hawaiianxgypsy,MUTING UNTIL U TURN THIS TRASH OFF,negative,-0.784676
badbubba14,MERICA,neutral,0
viper459,EU > NA,neutral,0
manletz,MURICA,neutral,0
lotimli,sweden,neutral,0
imcipris,RUSSIA RUSSIA RUSSIA RUSSIA RUSSIA RUSSIA RUSSIA RUSSIA RUSSIA RUSSIA RUSSIA,Error,0
estotwb,NA LUL,neutral,0
wowexlucis,ASU,neutral,0
frostbullet_,EU,neutral,0
even__,EU,neutral,0
imcipris,RUSSIA RUSSIA RUSSIA RUSSIA RUSSIA RUSSIA RUSSIA RUSSIA RUSSIA,Error,0
phantomred1,HARAMBE,neutral,0
squarebanana111,Russia,neutral,0
firecatzero,CHINA NUMBER ONE,neutral,0
imadwagon,USA USA USA USA USA ?,Error,0
zakki12345,USA ?,neutral,0
ahgest,U S A,neutral,0
junglejoosy,USS USA,neutral,0
altoration,I FUCKING LOVE YOU MOONMOON YOU DESERVE MORE FAME LITERALLY THE BEST STREAMER IVE EVER WATCHED.,neutral,0
ch43t0m1um,DEUTSCHLAND,neutral,0
arethyu,USA,neutral,0
jay2win,USA USA USA,neutral,0
thedragonbox,USA #1,positive,0.206341
spartanxapathy,USA,neutral,0
imeasycheesy,U S A,neutral,0
mooboys,U S A ?,neutral,0
petuho,BORN IN THE EU !! BORN IN THE EU !! BORN IN THE EU !! BORN IN THE EU !! BORN IN THE EU !! BORN IN THE EU !!,neutral,0
wowexlucis,EU E U E U E U E U,Error,0
coldace180,Dicks out boys,negative,-0.763334
zathasz,USA (puke),negative,-0.468384
cruzcontrol22,EWE ESSAY,neutral,0
zombehbrainz,USA moon2XD,neutral,0
aog1,SAU SAU SAU,neutral,0
koji2k12,USA danFat USA danFat USA danFat USA danFat USA danFat USA danFat USA danFat USA danFat,Error,0
r2kt,Norway,neutral,0
lotimli,sweden sweden sweden,Error,0
dragiop,U LUL S LUL A LUL,Error,0
swankypotato,AUSSIE AUSSIE ASSUIE OI OI OI,Error,0
potatopie5,EU > NA,neutral,0
leckotut,NA ARMY VS VIETNAM FARMERS 4Head,neutral,0
omg_its_me123987,U JESÉ,neutral,0
joenaruto,VAPE NATION,positive,0.580433
imadwagon,USA ?,neutral,0
louis9921,UK,neutral,0
thestarfeesh,USSRUSSRUSSRUSSRUSSRUSSRUSSRUSSRUSSR,Error,0
maxdestr,OpieOP,neutral,0
phantomred1,HAR AM BE,neutral,0
ang_squ,RU RU RU RU RU,neutral,0
serdarkny,yeah this song actually criticizes america LUL,negative,-0.410641
hakaanlol,YOU ES AYYYYYYY LMAO,negative,-0.671544
peacecraft01,evoUSA moon2MLADY evoUSA moon2MLADY evoUSA moon2MLADY evoUSA moon2MLADY evoUSA moon2MLADY evoUSA moon2MLADY,Error,0
andima88,Propane LUL,neutral,0
lonester,CHINA,neutral,0
squintzxd,Is Lassiz's icon a higher rank symbol or lower?,negative,-0.437895
ahgest,U S A 94 MEDALS,Error,0
demon_lily,moon2NOBRAIN,neutral,0
gorty16,@moonmoon_ow how does the d.va change feel?,negative,-0.245514
muegle,TAIWAN #1,neutral,0
kreaturger,IRAQ AMELE,negative,-0.36687
even__,Kappa U Kappa U Kappa,Error,0
qcontz,CANADA CANADA CANADA,Error,0
sealemons270,VapeNation,neutral,0
m1c4h,You know this song is about how life in the USA blows right??,neutral,0
morteusnl,Sent off to a foreign land, to kill the yellow man FeelsBadMan,negative,-0.364916
viper459,HARAMBE PogChamp,Error,0
syntaxau,moon2CHAMP AUS moon2CHAMP AUS moon2CHAMP AUS moon2CHAMP AUS moon2CHAMP,Error,0
powermcsquiddly,U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY U S A moon2MLADY,Error,0
ch43t0m1um,DEUTSCHLAND DEUTSCHLAND DEUTSCHLAND,positive,0.361677
threehundredbucks,U S A U S A,positive,0.272661
savalaserg2,BANGEEEDDD IN THE USAAAA,negative,-0.596261
steveawright,How did he fix The PTr PrObLeM,negative,-0.509757
vixolus,ImTriggered PROPANE ImTriggered,Error,0
zetienno,EL JOSE MEXICANTO,positive,0.342929
vakari_ow,? A S U,neutral,0
bortimusmaximus,Harambe in the USA,neutral,0
jululuian,MY DICK IS OUT,negative,-0.206197
shooloo,Pro Hanzo doe,neutral,0
shredmajor,Baaaaaaaan in the USA,Error,0
maivlol,YOU ESS AYY YOU ESS AYY YOU ESS AYY YOU ESS AYY YOU ESS AYY YOU ESS AYY YOU ESS AYY YOU ESS AYY YOU ESS AYY YOU ESS AYY YOU ESS AYY YOU ESS AYY,positive,0.617714
raptorx1,NORWAY,neutral,0
goldenstatewarriors123,EU EU EU EU EU,neutral,0
parzie,Ewe essay Kappa,Error,0
infinityhauntlet,DIX OUT,neutral,0
dragiop,U LUL S ULURU A LUL,Error,0
teude,@moonmoon_ow Bastion short coming in 6 mins! https://www.youtube.com/watch?v=axPSTHRYpZw,negative,-0.627371
el_reto,HARAMBE POWER,neutral,0
peacecraft01,evoUSA moon2MLADY evoUSA moon2MLADY evoUSA moon2MLADY evoUSA moon2MLADY evoUSA moon2MLADY evoUSA moon2MLADY,Error,0
nemezi2,I S I S,neutral,0
wraithyzz,HARAMBE PogChamp,Error,0
deathray147,GG EZ,positive,0.336094
callofthemoose23,MOON GORILLA!!!!!!,Error,0
viper459,lol,positive,0.315755
levianus,DEUTSCHLAND DatSheffy,positive,0.227494
potatopie5,EU > NAEU > NAEU > NAEU > NAEU > NAEU > NAEU > NAEU > NA,Error,0
vanitydestroyer,Here comes the BM moon2WUT,positive,0.200658
demon_lily,DICKS OUT gachiGASM,negative,-0.787599
even__,NORWAY,neutral,0
aultemus,@moonmoon_ow why do you play on low graphics??,negative,-0.702032
swampertguru,🇺🇸🆓🆔🅾Ⓜ🇺🇸,Error,0
onorekian,HARAMBE,neutral,0
stickem1986,@MOONMOON_OW I noticed that Las and logan have a different rank than you... why are they sooo much better than you?,negative,-0.608245
moosetorpedoman,HARAMBE AMERICA DANCE,Error,0
killerlord407,EU EU EUE EU EU UEE RU,negative,-0.361771
liquidsn,bastino short in 7min!,negative,-0.577766
ch43t0m1um,DEEEEUUUUTSCHLAAAND,Error,0
saltydohg,SHITTY MEMES OUT,negative,-0.898458
saladsareninjas,DICKS OUT BOYS PogChamp gachiGASM,negative,-0.726886
dsrt_camo,USA,neutral,0
t4iishy,PogChamp I'M GOING UP THE CHAT ELEVATOR PogChamp I'M GONNA BE FIRST TO ARRIVE PogChamp,positive,0.344337
inf6464,POOOOOORN IN THE UUUSSSAAAAAA,Error,0
raptorx1,FREE HEALTHCARE,positive,0.600777
nishiinoya,that feel when you get out of class and you can watch some idiot stream , hi moon :'))),positive,0.44565
wiscomptonswan,Born in the M_E_I,neutral,0
zaegan,I'm so American, I'm cleaning muh guns while watching.,neutral,0
strawsnpaws,in Soviet Russia, Harambe kills YOU!,negative,-0.34438
conqoror,DICKS OUT,negative,-0.815526
negativepenalty,Fuckin hipsters ruinning everything in ny,negative,-0.664364
alziz_z,NORWAY,neutral,0
crimisonflame,MR. BREXIT OpieOP,neutral,0
peacecraft01,evoUSA moon2MLADY evoUSA moon2MLADY evoUSA moon2MLADY evoUSA moon2MLADY evoUSA moon2MLADY evoUSA moon2MLADY,Error,0
muegle,LUL,neutral,0
graydog679,Merica 🇺🇸🇺🇸🇺🇸,Error,0
mysticaz,!hl,neutral,0
hawaiianxgypsy,IRELANDDD,neutral,0
cuervolunar,USA SUCK MY DICK,negative,-0.864544
frozn11,Norway dere fitter,neutral,0
t4iishy,KEK,neutral,0
viper459,LOL,positive,0.315755
klug_snipe190,U suck ass hHa rekt,Error,0
koji2k12,USA danFat USA danFat USA danFat USA danFat USA danFat USA danFat USA danFat,Error,0
metalblacktiger,LUL,neutral,0
thcwolfgang,Same,neutral,0
onlyausername,ULURU,neutral,0
pon_kun,Are you playing Winston because USA?,positive,0.239304
ahgest,U S A 94 MEDALS,Error,0
scenesontoast,star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2 star1 star2,neutral,0
louis9921,UK,neutral,0
despairjunko,LUL,neutral,0
t4iishy,PogChamp I'M GOING UP THE CHAT ELEVATOR PogChamp I'M GONNA BE FIRST TO ARRIVE PogChamp,positive,0.344337
coatzul,ULURU,neutral,0
walking_clock,wow rude,negative,-0.224247
donikass,LYL,neutral,0
planf,LUL,neutral,0
rub727,ULURU,neutral,0
usernamewastaken12,LUL,neutral,0
uhrainy,LOL,positive,0.315755
crampedup,it says 'propane accessories' in the spawn,negative,-0.309615
dipolarr,LUL,neutral,0
bat_hulud,ImTriggered MOONMOON ImTriggered PUSHES ImTriggered ME ImTriggered TO ImTriggered MY ImTriggered ABSOLUTE ImTriggered LIMIT ImTriggered,negative,-0.482763
liiland,NORWAY,neutral,0
threehundredbucks,LUL,neutral,0
multimedyam,evoUSA evoUSA evoUSA evoUSA evoUSA evoUSA evoUSA evoUSA evoUSA evoUSA evoUSA evoUSA evoUSA evoUSA evoUSA evoUSA,neutral,0
4changamerhouse,@moonmoon_ow PLAY HULK HOGAN INTRO,positive,0.567818
rekatronn,never go to bed,negative,-0.611341
thestarfeesh,FeelsBadMan,neutral,0
despairjunko,ULURU,neutral,0
ninjanerd127,ULURU,neutral,0
hakaanlol,YOU ES AYYYYYY LMAO. YOU ES AYYYYYY LMAO.YOU ES AYYYYYY LMAO.YOU ES AYYYYYY LMAO.YOU ES AYYYYYY LMAO.YOU ES AYYYYYY LMAO.YOU ES AYYYYYY LMAO.YOU ES AYYYYYY LMAO.YOU ES AYYYYYY LMAO.YOU ES AYYYYYY LMAO.YOU ES AYYYYYY LMAO.YOU ES AYYYYYY LMAO.YOU ES AYYYYYY LMAO.YOU ES AYYYYYY LMAO.YOU ES AYYYYYY LMAO.YOU ES AYYYYYY LMAO.,negative,-0.640255
rotcha,BANANA PogChamp,Error,0
viridious,EU LUL,neutral,0
hohothebasedgod,EU LUL,neutral,0
aog1,@MOONMOON_OW, Did you know this song is satire?,negative,-0.684652
fullmetalmaniac,ULURU,neutral,0
fatash82much,@MOONMOON_OW how much do I have to donate to be carried to grand master in PTR Kappa,positive,0.453028
pinkninja22,REKT,neutral,0
onorekian,LUL,neutral,0
marcram90,wow MOONMOON_OW lirikN,Error,0
t4iishy,PogChamp I'M GOING UP THE CHAT ELEVATOR PogChamp I'M GONNA BE FIRST TO ARRIVE PogChamp,positive,0.344337
gumialma,its 6 pm here LUL,negative,-0.247698
teude,YOU ARE NOT MY DAD, DONT TELL ME WHAT TO DO U FUCK!,negative,-0.765965
saintbroski,BibleThump BibleThump BibleThump,Error,0
besided1337,Come on dude D:,negative,-0.693445
petuho,BORN IN THE EU !! BORN IN THE EU !! BORN IN THE EU !! BORN IN THE EU !! BORN IN THE EU !! BORN IN THE EU !!,neutral,0
sharkmaster679,No,negative,-0.627736
koenergy,6 mins for the bastion short,negative,-0.576951
roozai26,lul,neutral,0
rocketpoweredmonke,AUTRALIAN?,neutral,0
sniarru,HAHAHAHA,positive,0.607063
t4iishy,TOPKEK,neutral,0
martinos1808,NA (puke),negative,-0.535977
magicka986,lol i love you,positive,0.783609
zsmj_11,AUSSIE AUSSIE AUSSIE,positive,0.348312
cmass,LMAo,positive,0.483922
louis9921,UK BITCHES,neutral,0
cruzcontrol22,PIP PIP,positive,0.276083
lazyboy12346,EU LUL,neutral,0
leckotut,LUL TRIGGERED AMERICANS LUL,Error,0
liiland,LMAO,positive,0.483922
thestarfeesh,LUL,neutral,0
officialdark_tv,FUCK U EUROPE,negative,-0.679499
rzack,LUL,neutral,0
rastafarimahn,LUL,neutral,0
madnuffjew,BREXIT,neutral,0
thrall420,LUL,neutral,0
z3ro1con,LMAO,positive,0.483922
meznia,EUSA EUSA EUSA,neutral,0
despairjunko,OI M8,neutral,0
potatopie5,EU > NA,neutral,0
thbritishgamer,Im triggered,negative,-0.372798
syntaxau,WutFace,neutral,0
aitheporo,Lol,positive,0.315755
drseemorebutts,PIP PIP,positive,0.276083
bowkill,hahahaha,positive,0.607063
jewsbadnews,PJSalt,neutral,0
ripe63,LUL,neutral,0
rektm9momgethecamera,SAVAGE,negative,-0.388756
mrnubcakz,ULURU,neutral,0
infinityhauntlet,fuk,neutral,0
saltytf,LUL,neutral,0
whycantiusemyname,LUL,neutral,0
petuho,CHEERIO MATE,neutral,0
sarofa,EU IN 2016 LUL,neutral,0
trlstee,LMAO,positive,0.483922
phantomred1,triggereds,neutral,0
t4iishy,PogChamp I'M GOING UP THE CHAT ELEVATOR PogChamp I'M GONNA BE FIRST TO ARRIVE PogChamp,positive,0.344337
frankthetank412,ITS HIGH NOON,positive,0.274745
itszeenz,ITS HIGH NOON,positive,0.274745
joshb543,ROASTED,positive,0.244744
only1esco,lol... eu=dumb... jk,Error,0
call_me_antt,Lmao rekt,positive,0.473382
sharkmaster679,MVGame MVGame MVGame MVGame MVGame,neutral,0
senjougahara_sama,TEAAA,positive,0.313166
tadgmtjapmt,PJSalt LUL,neutral,0
pacotime35,Rekt,neutral,0
dogtoothspar,LUL,neutral,0
mos221,ULURU,neutral,0
buizeru,BREXIT ITS HIGH NOON,positive,0.215445
psych_reaper,ULURU EU IN 2016,Error,0
ninjanerd127,HIGH NOON,positive,0.296279
senjougahara_sama,NOOON,neutral,0
nemezi2,haHAA,neutral,0
hydra80808,TRIGGERED,negative,-0.308995
kentayuki,moon2MLADY,neutral,0
dotspawn,TEA IS AT 4 ImTriggered,positive,0.284224
pinkninja22,PIP PIP,positive,0.276083
kiuper,pot of teaaaaa,positive,0.200322
andima88,UK is not europe LUL,Error,0
ohunt3r,moon2LUL,neutral,0
wowexlucis,Classist,neutral,0
grachmann,LUL I'm british and can confirm,positive,0.384139
nikse95,lul,neutral,0
rambo_8_u,The FICK,neutral,0
seraphimon,MURICA,neutral,0
planf,UK ULURU,neutral,0
the_dawkinator,THE BREXIT LONE WOLF,negative,-0.242936
vakari_ow,moon2MLADY,neutral,0
xal1771,LUL,neutral,0
bobthepredator,EU > NA KKona,neutral,0
infinityhauntlet,if mccree was british,neutral,0
deepdish_ornothing,Brexit RIP,negative,-0.845317
raditatical,e LUL u LUL,neutral,0
itszeenz,ImTriggered ImTriggered ImTriggered ImTriggered ImTriggered ImTriggered,Error,0
hohothebasedgod,ULURU EU TRIGGERED,Error,0
prettysoft,U MAD,negative,-0.54079
turmoill,EU LUL,neutral,0
kyver_,TRIGGERED,negative,-0.308995
dragiop,UK IS NOT EU LUL,Error,0
vydos,I'm european and said nothing lirikFEELS,negative,-0.4104
nightbot,SwiftRage https://twitter.com/summit1g/status/765394168474546177 SwiftRage,neutral,0
16fangd,XDddd,positive,0.581138
vixen98,hahahahahhahahsjgghvsghjwbaqejha,Error,0
ogyrez,OI M8,neutral,0
ogkrispycream,REKT,neutral,0
lpet4,TRIGGERED,negative,-0.308995
niklev9,USA>the world,neutral,0
tidblom01,WOW FUCK YOU *** =< @moonmoon_ow,neutral,0
wowexlucis,Trigggggggggggerrd,Error,0
thebladesedge,get triggered nurd,negative,-0.304549
rchiefgaming,TRIGGERED,negative,-0.308995
jululuian,T R I G G E R E D,Error,0
syntaxau,NA impersonation WutFace,Error,0
dndcattivo,Jump off the edge pussy, you wont,negative,-0.774685
shin_cn,Wait I wasn't paying attention why the fuck are you winston right now,negative,-0.35739
jiggasligga,Triggered,negative,-0.308995
mega_sword,RageFace JESUS CHRIST RageFace,negative,-0.567834
lordtsoran,Accurate as fuck,neutral,0
goldenstatewarriors123,DEUTSCHLAND,neutral,0
malaki3,Get Rekt Europe,Error,0
exorcismer,go to bed at 17:54?,neutral,0
t00_gosu,BREXIT! DansGame,positive,0.235711
skymaiden,twitch professors DansGame,negative,-0.548318
16fangd,Xdddd,positive,0.581138
muegle,Moonmoon is triggered ImTriggered,Error,0
coatzul,EU ULURU,Error,0
mose_0,Good morning MOONMOON_OW moon2HEY,positive,0.446457
